,ciudad: ,direcciones: ,farmacia:
0,Santa Cruz,AV. DOBLE VIA A LA GUARDIA KM. 6 S/N ZONA EL BAJIO,False
1,Santa Cruz,CALLE BARRON S/N BARRIO CENTRAL,False
2,Santa Cruz,AV. CENTENARIO Y 2DO ANILLO,False
3,Santa Cruz,AV. MOSCU S/N URB. ESPAÑA,False
4,Santa Cruz,AV. IRALA ESQ. RENE MORENO,False
5,Santa Cruz,AV. CAÑOTO ESQ. CALLE MONTERO S/N ZONA LA RAMADA,False
6,Santa Cruz,AV. SANTOS DUMONT 6TO ANILLO,False
7,La paz,AV. STRONGEST ESQ. LAS VIOLETAS NRO. 100 Z. ACHUMANI,True
8,Santa Cruz,AV. BENI 4TO ANILLO S/N,True
9,Santa Cruz,AV. VELARDE NRO. 179,True
10,Cochabamba,AV. BLANCO GALINDO KM 2 1/2 NRO. 2029 ZONA HIPODROMO,True
11,La paz,AV. BALLIVIAN NRO. 1185 - CALACOTO,True
12,Santa Cruz,AV. CAÑOTO MZA. 105 NRO. 27,True
13,Santa Cruz,CALLE MANUEL IGNACIO SALVATIERRA NRO. 174,True
14,Cochabamba,AV. CIRCUNVALACION ENTRE CALLE HERNAN SILEZ Y A. UZEDA S/N,True
15,La paz,AV. ALFREDO SANJINEZ NRO 500 B/CIUDAD SATELITE-EL ALTO,True
16,Cochabamba,AV. BALLIVIAN (EL PADRO) NRO. 753 ZONA CENTRAL,True
17,Santa Cruz,AV. SAN MARTIN 4TO ANILLO ESQ. CALLE ,True
18,Santa Cruz,CALLE FLORIDA NRO. 187,True
19,Cochabamba,AV. JUAN DE LA ROSA Y GABRIEL RENE MORENO NRO. 207033 ZONA CALA CALA,True
20,Santa Cruz,AV. BANZER 4TO. ANILLO (CENTRO COMERCIAL LAS BRISAS),True
21,La paz,AV. COSTANERA NRO. 85 ZONA CALACOTO,True
22,La paz,CUBA NRO. 1406 ESQ. BRASIL,True
23,Santa Cruz,AV. CIRCUNVALACION NORTE ANDRES S/N BARRIO FABRIL,True
24,Santa Cruz,AV. JAPON NRO. 3480 BARRIO MAGISTERIO,True
25,Santa Cruz,AV. CRISTO REDENTO Y 3ER. ANILLO,True
26,La paz,AV. 14 DE SEPTIEMBRE Y AV. HERNANDO SILES ENTRE  CALLE 14 Y 15 ZONA OBRAJES,True
27,Santa Cruz,CALLE RIO UBAI ESQ. 4TO ANILLO ,True
28,Santa Cruz,AV. VIRGEN DE  COTOCA ESQ. EL TRILLO 6TO. ANILLO,True
29,Santa Cruz,AV. 26 DE FEBRERO    ESQ.    AV. PIRAI,True
30,Santa Cruz,AV. PAURITO S/N BARRIO LOS ALAMOS,True
31,Santa Cruz,4TO ANILLO ESQ. CANAL PEDRO VELEZ (ENTRE RADIAL 27 Y 26),True
32,La paz,AV. JUAN PABLO II NRO 12 ZONA RIO SECO CUIDAD EL ALTO AV. COSTANERA Y AV 14 DE SEPTIEMBRE,True
33,Santa Cruz,"AV. ROCA Y CORONADO NO. 800, BARRIO 4 DE NOVIEMBRE",True
34,Cochabamba,AV. VILLAZON  KM  3  (SACABA),True
35,La paz,C. ROSENDO GUTIERREZ NRO. 469,True
36,Santa Cruz,AV. CRISTO REDENTO ENTRE 6° Y 7° ANILLO,True
37,Santa Cruz,SANTOS DUMONT 3ER. ANILLO,True
38,La paz,AV. ARCE NRO. 2519 CONDOMINIO TORRES DEL POETA ESQ. PLAZA ISABEL LA CATOLICA,True
39,Cochabamba,AV. OQUENDO NRO 634  Z. CENTRO,True
40,Santa Cruz,AV. TRES P. AL FRENTE ESQ./TERCER ANILLO INTERNO,True
41,Santa Cruz,"AV. CENTRAL CALLE 10 ESTE, FRENTE AL HOSPITAL HERNANDEZ VERA",True
